species,num_total,num_in_polygons,percent_in_polys
Acacia_redolens,438,70,15.9817351598174
Astragalus_oxyglottis,98,22,22.4489795918367
Astragalus_stevenianus,191,22,11.5183246073298
Calicotome_infesta,162,20,12.3456790123457
Campsiandra_comosa,145,22,15.1724137931034
Caragana_polourensis,22,1,4.54545454545455
Carmichaelia_exsul,4,0,0
Chloroleucon_tortum,87,40,45.9770114942529
Clianthus_puniceus,63,21,33.3333333333333
Colvillea_racemosa,33,15,45.4545454545455
Copaifera_officinalis,48,22,45.8333333333333
Crotalaria_angulata,58,17,29.3103448275862
Dialium_zenkeri,66,20,30.3030303030303
Erythrina_corallodendron,42,10,23.8095238095238
Hedysarum_polybotrys,79,33,41.7721518987342
Inga_cordistipula,22,8,36.3636363636364
Lathyrus_littoralis,205,83,40.4878048780488
Lathyrus_odoratus,1391,555,39.8993529834651
Lespedeza_tomentosa,489,238,48.6707566462168
Lespedeza_violacea,1236,549,44.4174757281553
Lotus_conjugatus,50,9,18
Lotus_purpureus,30,11,36.6666666666667
Melilotus_infestus,102,43,42.156862745098
Ormosia_costulata,88,31,35.2272727272727
Ormosia_monosperma,23,11,47.8260869565217
Oxyrhynchus_volubilis,43,16,37.2093023255814
Oxytropis_splendens,976,362,37.0901639344262
Parkia_timoriana,677,26,3.84047267355982
Platylobium_formosum,5328,1798,33.7462462462462
Rhynchosia_aurea,25,12,48
Rhynchosia_rothii,165,34,20.6060606060606
Robinia_viscosa,385,171,44.4155844155844
Schleinitzia_insularum,12,5,41.6666666666667
Senna_floribunda,250,68,27.2
Senna_marilandica,1458,491,33.676268861454
Sophora_howinsula,11,0,0
Strongylodon_macrobotrys,93,32,34.4086021505376
Stylosanthes_calcicola,35,8,22.8571428571429
Taverniera_cuneifolia,33,16,48.4848484848485
Tephrosia_obovata,35,14,40
Trifolium_alexandrinum,1745,771,44.1833810888252
Trifolium_vesiculosum,1154,327,28.3362218370884
Trigonella_caerulea,473,84,17.7589852008457
Vicia_pubescens,4185,544,12.9988052568698
Vicia_serratifolia,556,110,19.7841726618705
Vicia_sicula,35,17,48.5714285714286
